country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2022-07-17,Films,4,Kingdom,,1
Japan,JP,2022-07-17,Films,5,Honey,,1
Japan,JP,2022-07-17,Films,6,The Cinderella Addiction,,3
Japan,JP,2022-07-17,Films,7,SP: The Motion Picture Episode VI<The Final Episode>,,4
Japan,JP,2022-07-17,Films,8,Man on a Ledge,,1
Japan,JP,2022-07-17,Films,9,The Eternal Zero,,2
Japan,JP,2022-07-17,Films,10,Minions,,1
Japan,JP,2022-07-17,TV,1,Itaewon Class,Itaewon Class: Season 1,51
Japan,JP,2022-07-17,TV,2,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,2
Japan,JP,2022-07-17,TV,3,Alchemy of Souls,Alchemy of Souls: Season 1,4
Japan,JP,2022-07-17,TV,4,Resident Evil,Resident Evil: Season 1,1
Japan,JP,2022-07-17,TV,5,Stranger Things,Stranger Things 4,8
Japan,JP,2022-07-17,TV,6,Remarriage & Desires,Remarriage & Desires: Season 1,1
Japan,JP,2022-07-17,TV,7,Manifest,Manifest: Season 1,2
Japan,JP,2022-07-17,TV,8,SPY x FAMILY,SPY x FAMILY: Season 1,14
Japan,JP,2022-07-17,TV,9,Crash Landing on You,Crash Landing on You: Season 1,54
Japan,JP,2022-07-17,TV,10,Oh My Baby,Oh My Baby: Season 1,2
Japan,JP,2022-07-10,Films,1,The Cinderella Addiction,,2
Japan,JP,2022-07-10,Films,2,Snake Eyes: G.I. Joe Origins,,2
Japan,JP,2022-07-10,Films,3,Incantation,,1
Japan,JP,2022-07-10,Films,4,The Eternal Zero,,1
Japan,JP,2022-07-10,Films,5,Deep Blue Sea 2,,2
Japan,JP,2022-07-10,Films,6,Case 39,,1
Japan,JP,2022-07-10,Films,7,SP: The Motion Picture Episode VI<The Final Episode>,,3
Japan,JP,2022-07-10,Films,8,The Door into Summer,,3
Japan,JP,2022-07-10,Films,9,American Made,,1
Japan,JP,2022-07-10,Films,10,Dune,,3
Japan,JP,2022-07-10,TV,1,Itaewon Class,Itaewon Class: Season 1,50
Japan,JP,2022-07-10,TV,2,Stranger Things,Stranger Things 4,7
Japan,JP,2022-07-10,TV,3,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,1
Japan,JP,2022-07-10,TV,4,Alchemy of Souls,Alchemy of Souls: Season 1,3
Japan,JP,2022-07-10,TV,5,Money Heist: Korea - Joint Economic Area,Money Heist: Korea - Joint Economic Area: Season 1,3
Japan,JP,2022-07-10,TV,6,SPY x FAMILY,SPY x FAMILY: Season 1,13
Japan,JP,2022-07-10,TV,7,Manifest,Manifest: Season 1,1
Japan,JP,2022-07-10,TV,8,Oh My Baby,Oh My Baby: Season 1,1
Japan,JP,2022-07-10,TV,9,Stranger Things,,4
Japan,JP,2022-07-10,TV,10,Stranger Things,Stranger Things 2,3
Japan,JP,2022-07-03,Films,1,The Door into Summer,,2
Japan,JP,2022-07-03,Films,2,Dune,,2
Japan,JP,2022-07-03,Films,3,SP: The Motion Picture Episode VI<The Final Episode>,,2
Japan,JP,2022-07-03,Films,4,The Man from Toronto,,2
Japan,JP,2022-07-03,Films,5,SP: The Motion Picture Episode V,,2
Japan,JP,2022-07-03,Films,6,Tomorrow's Dinner Table,,2
Japan,JP,2022-07-03,Films,7,Snake Eyes: G.I. Joe Origins,,1
Japan,JP,2022-07-03,Films,8,THE FABLE: The Killer Who Doesn't Kill,,5
Japan,JP,2022-07-03,Films,9,Deep Blue Sea 2,,1
Japan,JP,2022-07-03,Films,10,The Cinderella Addiction,,1
Japan,JP,2022-07-03,TV,1,Stranger Things,Stranger Things 4,6
Japan,JP,2022-07-03,TV,2,Money Heist: Korea - Joint Economic Area,Money Heist: Korea - Joint Economic Area: Season 1,2
Japan,JP,2022-07-03,TV,3,SPY x FAMILY,SPY x FAMILY: Season 1,12
Japan,JP,2022-07-03,TV,4,Alchemy of Souls,Alchemy of Souls: Season 1,2
Japan,JP,2022-07-03,TV,5,Itaewon Class,Itaewon Class: Season 1,49
Japan,JP,2022-07-03,TV,6,Doctor John,Doctor John: Season 1,5
Japan,JP,2022-07-03,TV,7,Crash Landing on You,Crash Landing on You: Season 1,53
Japan,JP,2022-07-03,TV,8,Our Blues,Our Blues: Season 1,9
Japan,JP,2022-07-03,TV,9,SPRIGGAN,SPRIGGAN: Season 1,3
Japan,JP,2022-07-03,TV,10,"BASTARD‼ -Heavy Metal, Dark Fantasy-","BASTARD‼ -Heavy Metal, Dark Fantasy-: Season 1",1
Japan,JP,2022-06-26,Films,1,Dune,,1
Japan,JP,2022-06-26,Films,2,Spiderhead,,2
Japan,JP,2022-06-26,Films,3,THE FABLE: The Killer Who Doesn't Kill,,4
Japan,JP,2022-06-26,Films,4,Tomorrow's Dinner Table,,1
Japan,JP,2022-06-26,Films,5,The Man from Toronto,,1
Japan,JP,2022-06-26,Films,6,First Love,,2
Japan,JP,2022-06-26,Films,7,The Door into Summer,,1
Japan,JP,2022-06-26,Films,8,SP: The Motion Picture Episode V,,1
Japan,JP,2022-06-26,Films,9,SP: The Motion Picture Episode VI<The Final Episode>,,1
Japan,JP,2022-06-26,Films,10,The Conjuring: The Devil Made Me Do It,,2
Japan,JP,2022-06-26,TV,1,SPY x FAMILY,SPY x FAMILY: Season 1,11
Japan,JP,2022-06-26,TV,2,SPRIGGAN,SPRIGGAN: Season 1,2
Japan,JP,2022-06-26,TV,3,Doctor John,Doctor John: Season 1,4
Japan,JP,2022-06-26,TV,4,Secret Garden,Secret Garden: Season 1,2
Japan,JP,2022-06-26,TV,5,Our Blues,Our Blues: Season 1,8
Japan,JP,2022-06-26,TV,6,Alchemy of Souls,Alchemy of Souls: Season 1,1
Japan,JP,2022-06-26,TV,7,Itaewon Class,Itaewon Class: Season 1,48
Japan,JP,2022-06-26,TV,8,Stranger Things,Stranger Things 4,5
Japan,JP,2022-06-26,TV,9,Money Heist: Korea - Joint Economic Area,Money Heist: Korea - Joint Economic Area: Season 1,1
Japan,JP,2022-06-26,TV,10,Crash Landing on You,Crash Landing on You: Season 1,52
Japan,JP,2022-06-19,Films,1,THE FABLE: The Killer Who Doesn't Kill,,3
Japan,JP,2022-06-19,Films,2,First Love,,1
Japan,JP,2022-06-19,Films,3,Greenland,,3
Japan,JP,2022-06-19,Films,4,Murders at the House of Death,,1
Japan,JP,2022-06-19,Films,5,The Conjuring: The Devil Made Me Do It,,1
Japan,JP,2022-06-19,Films,6,THE FABLE,,6
Japan,JP,2022-06-19,Films,7,Interceptor,,3
Japan,JP,2022-06-19,Films,8,Spiderhead,,1
Japan,JP,2022-06-19,Films,9,Ocean's 8,,2
Japan,JP,2022-06-19,Films,10,Laplace's Witch,,2
Japan,JP,2022-06-19,TV,1,SPY x FAMILY,SPY x FAMILY: Season 1,10
Japan,JP,2022-06-19,TV,2,Doctor John,Doctor John: Season 1,3
Japan,JP,2022-06-19,TV,3,Our Blues,Our Blues: Season 1,7
Japan,JP,2022-06-19,TV,4,Stranger Things,Stranger Things 4,4
Japan,JP,2022-06-19,TV,5,Itaewon Class,Itaewon Class: Season 1,47
Japan,JP,2022-06-19,TV,6,Secret Garden,Secret Garden: Season 1,1
Japan,JP,2022-06-19,TV,7,Crash Landing on You,Crash Landing on You: Season 1,51
Japan,JP,2022-06-19,TV,8,SPRIGGAN,SPRIGGAN: Season 1,1
Japan,JP,2022-06-19,TV,9,Stranger Things,,3
Japan,JP,2022-06-19,TV,10,Stranger Things,Stranger Things 2,2
Japan,JP,2022-06-12,Films,1,THE FABLE: The Killer Who Doesn't Kill,,2
Japan,JP,2022-06-12,Films,2,Greenland,,2
Japan,JP,2022-06-12,Films,3,Interceptor,,2
Japan,JP,2022-06-12,Films,4,THE FABLE,,5
Japan,JP,2022-06-12,Films,5,Unreliable,,2
Japan,JP,2022-06-12,Films,6,Laplace's Witch,,1
Japan,JP,2022-06-12,Films,7,Under the Stars,,2
Japan,JP,2022-06-12,Films,8,Ocean's 8,,1
Japan,JP,2022-06-12,Films,9,Just Like Heaven,,1
Japan,JP,2022-06-12,Films,10,The Cave,,1
Japan,JP,2022-06-12,TV,1,Doctor John,Doctor John: Season 1,2
Japan,JP,2022-06-12,TV,2,SPY x FAMILY,SPY x FAMILY: Season 1,9
Japan,JP,2022-06-12,TV,3,Stranger Things,Stranger Things 4,3
Japan,JP,2022-06-12,TV,4,Our Blues,Our Blues: Season 1,6
Japan,JP,2022-06-12,TV,5,Itaewon Class,Itaewon Class: Season 1,46
Japan,JP,2022-06-12,TV,6,Stranger Things,,2
Japan,JP,2022-06-12,TV,7,Crash Landing on You,Crash Landing on You: Season 1,50
Japan,JP,2022-06-12,TV,8,The Way of the Househusband,The Way of the Househusband: Season 1,2
Japan,JP,2022-06-12,TV,9,Stranger Things,Stranger Things 2,1
Japan,JP,2022-06-12,TV,10,Green Mothers' Club,Green Mothers' Club: Season 1,6
Japan,JP,2022-06-05,Films,1,THE FABLE: The Killer Who Doesn't Kill,,1
Japan,JP,2022-06-05,Films,2,Unreliable,,1
Japan,JP,2022-06-05,Films,3,Interceptor,,1
Japan,JP,2022-06-05,Films,4,Reminiscence,,1
Japan,JP,2022-06-05,Films,5,Double Jeopardy,,1
Japan,JP,2022-06-05,Films,6,The Game,,2
Japan,JP,2022-06-05,Films,7,Kasane,,2
Japan,JP,2022-06-05,Films,8,Greenland,,1
Japan,JP,2022-06-05,Films,9,THE FABLE,,4
Japan,JP,2022-06-05,Films,10,Under the Stars,,1
Japan,JP,2022-06-05,TV,1,Stranger Things,Stranger Things 4,2
